Number of Items,Average Time (nanoseconds)
5180,1532275
5190,1471190
5200,1657165
5210,1519535
5220,1818580
5230,1803760
5240,2068475
5250,1496870
5260,1619985
5270,1566715
5280,1499245
5290,1541980
5300,1474695
5310,1514540
5320,1854455
5330,1826765
5340,1689775
5350,1845130
5360,1437765
5370,1583735
5380,1418255
5390,1557380
5400,1549790
5410,1549605
5420,1717250
5430,1675650
5440,1444665
5450,1513240
5460,1566250
5470,1565475
5480,1591325
5490,1657050
5500,1590875
5510,1533270
5520,1540605
5530,1766315
5540,1632455
5550,1922255
5560,1581305
5570,1487065
5580,1460545
5590,1569905
5600,1641155
5610,1757140
5620,1604305
5630,1688510
5640,1641800
5650,1658660
5660,1690260
5670,1589405
5680,1686845
5690,1681495
5700,1753930
5710,1687400
5720,1699440
5730,1615865
5740,1632945
5750,1702935
5760,1764665
5770,1636135
5780,1756745
5790,1567600
5800,1707025
5810,1715590
5820,1816250
5830,1796005
5840,1679590
5850,5078300
5860,1621840
5870,1592865
5880,1600175
5890,1847510
5900,1723815
5910,1724900
5920,1960885
5930,1705705
5940,1689900
5950,1818360
5960,3950565
5970,1992325
5980,1845295
5990,1841660
6000,2285445
6010,1867000
6020,1753945
6030,2365040
6040,1857830
6050,1935320
6060,1926720
6070,2419945
6080,1787230
6090,1811555
6100,2071155
6110,1943660
6120,1804360
6130,1742955
6140,1805365
6150,1814170
6160,2098325
6170,2007880
6180,1756420
6190,1798360
6200,1757120
6210,1880400
6220,1871695
6230,1758435
6240,1826150
6250,2315590
6260,2189565
6270,2750700
6280,2645020
6290,2568810
6300,2137360
6310,1716545
6320,1707945
6330,1764990
6340,1722400
6350,1736875
6360,1721835
6370,1797975
6380,1860235
6390,1832030
6400,1820390
6410,1814435
6420,1876105
6430,1867420
6440,1955530
6450,1941840
6460,1950025
6470,1907010
6480,1968355
6490,1995520
6500,1848045
6510,1938500
6520,1882335
6530,1938530
6540,1972485
6550,1964550
6560,2095275
6570,1981175
6580,2166585
6590,2040210
6600,2155190
6610,1973310
6620,1912610
6630,1941600
6640,1922980
6650,1952710
6660,1933900
6670,1957370
6680,2111775
6690,2444130
6700,2083865
6710,2065625
6720,2548680
6730,5570220
6740,1794280
6750,1841145
6760,2187510
6770,2358155
6780,2296645
6790,2160395
6800,2101270
6810,2119230
6820,2212520
6830,2252570
6840,2304320
6850,2075840
6860,2080995
6870,2057760
6880,2020240
6890,2012575
6900,2054765
6910,2044575
6920,2118695
6930,2517220
6940,2046660
6950,1995000
6960,1999875
6970,2096125
6980,2019965
6990,2178730
7000,2162595
7010,2261950
7020,2287665
7030,2903375
7040,3098255
7050,3730165
7060,4163290
7070,4408520
7080,4108435
7090,11247890
7100,4403065
7110,4437490
7120,4496000
7130,4524430
7140,4359075
7150,4365590
7160,10819355
7170,3872270
7180,3104345
7190,3936695
7200,10575485
7210,3719115
7220,3724950
7230,4011420
7240,9259220
7250,4449210
7260,4159615
7270,4026940
7280,4129670
7290,8363360
7300,5058675
7310,4481245
7320,4769480
